cve,ferramenta,no_denominador,motivo_fora_denominador,status_campanha,tratado_presente,nivel_0,nivel_1,nivel_2_generosa,nivel_2_estrita,nivel_3,nivel_4_generosa,nivel_4_estrita,estrita_aplicavel,achados_no_arquivo_gt,distancia_min_linha,distancia_min_intervalo,gt_file_scanned,gt_cwe_primary,gt_cwes
CVE-2017-16098,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16100,codeql,true,,OK,true,true,true,true,true,true,true,true,true,2,0,0,true,CWE-078,CWE-078|CWE-088
CVE-2017-16100,semgrep,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-078,CWE-078|CWE-088
CVE-2017-16100,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-078,CWE-078|CWE-088
CVE-2017-16107,codeql,true,,OK,true,true,true,true,true,true,true,true,true,4,0,0,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16107,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16107,snyk-code,true,,OK,true,true,true,true,false,true,true,false,true,4,0,0,null,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16114,codeql,true,,OK,true,true,true,true,true,true,true,true,true,4,0,0,true,CWE-400,CWE-730|CWE-400
CVE-2017-16114,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,3,147,147,true,CWE-400,CWE-730|CWE-400
CVE-2017-16114,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16117,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-400,CWE-730|CWE-400
CVE-2017-16117,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,1,56,56,true,CWE-400,CWE-730|CWE-400
CVE-2017-16117,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16118,codeql,true,,OK,true,true,true,true,true,false,false,false,true,1,43,43,true,CWE-400,CWE-730|CWE-400
CVE-2017-16118,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-16118,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16119,codeql,true,,OK,true,true,true,true,true,false,false,false,true,1,45,45,true,CWE-400,CWE-730|CWE-400
CVE-2017-16119,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-16119,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16136,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-16136,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-16136,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16137,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,1,0,true,CWE-400,CWE-730|CWE-400
CVE-2017-16137,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-16137,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16138,codeql,true,,OK,true,true,true,true,true,true,true,true,true,2,0,0,true,CWE-400,CWE-730|CWE-400
CVE-2017-16138,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-16138,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16224,codeql,true,,OK,true,true,true,true,true,true,true,true,true,3,0,0,true,CWE-601,CWE-601
CVE-2017-16224,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,3,199,199,true,CWE-601,CWE-601
CVE-2017-16224,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-601,CWE-601
CVE-2017-16226,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-094,CWE-020|CWE-094
CVE-2017-16226,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-094,CWE-020|CWE-094
CVE-2017-16226,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-094,CWE-020|CWE-094
CVE-2017-16877,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16877,semgrep,true,,OK,true,true,true,true,true,false,false,false,true,8,98,98,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16877,snyk-code,true,,OK,true,true,true,false,false,false,false,false,true,2,35,35,null,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-17461,codeql,true,,OK,true,true,true,true,true,false,false,false,true,2,1,1,true,CWE-400,CWE-730|CWE-400
CVE-2017-17461,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,3,148,148,true,CWE-400,CWE-730|CWE-400
CVE-2017-17461,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-18077,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-400,CWE-730|CWE-400
