check_id,languages,js_ts
go.lang.security.audit.net.unescaped-data-in-htmlattr.unescaped-data-in-htmlattr,go,nao
go.lang.security.audit.net.unescaped-data-in-js.unescaped-data-in-js,go,nao
go.lang.security.audit.net.unescaped-data-in-url.unescaped-data-in-url,go,nao
go.lang.security.audit.net.use-tls.use-tls,go,nao
go.lang.security.audit.net.wip-xss-using-responsewriter-and-printf.wip-xss-using-responsewriter-and-printf,go,nao
go.lang.security.audit.reflect-makefunc.reflect-makefunc,go,nao
go.lang.security.audit.sqli.gosql-sqli.gosql-sqli,go,nao
go.lang.security.audit.sqli.pg-orm-sqli.pg-orm-sqli,go,nao
go.lang.security.audit.sqli.pg-sqli.pg-sqli,go,nao
go.lang.security.audit.sqli.pgx-sqli.pgx-sqli,go,nao
go.lang.security.audit.unsafe-reflect-by-name.unsafe-reflect-by-name,go,nao
go.lang.security.audit.xss.import-text-template.import-text-template,go,nao
go.lang.security.audit.xss.no-direct-write-to-responsewriter.no-direct-write-to-responsewriter,go,nao
go.lang.security.audit.xss.no-fprintf-to-responsewriter.no-fprintf-to-responsewriter,go,nao
go.lang.security.audit.xss.no-interpolation-in-tag.no-interpolation-in-tag,generic,nao
go.lang.security.audit.xss.no-interpolation-js-template-string.no-interpolation-js-template-string,generic,nao
go.lang.security.audit.xss.no-io-writestring-to-responsewriter.no-io-writestring-to-responsewriter,go,nao
go.lang.security.audit.xss.no-printf-in-responsewriter.no-printf-in-responsewriter,go,nao
go.lang.security.audit.xss.template-html-does-not-escape.unsafe-template-type,go,nao
go.lang.security.bad_tmp.bad-tmp-file-creation,go,nao
go.lang.security.decompression_bomb.potential-dos-via-decompression-bomb,go,nao
go.lang.security.deserialization.unsafe-deserialization-interface.go-unsafe-deserialization-interface,go,nao
go.lang.security.filepath-clean-misuse.filepath-clean-misuse,go,nao
go.lang.security.injection.open-redirect.open-redirect,go,nao
go.lang.security.injection.raw-html-format.raw-html-format,go,nao
go.lang.security.injection.tainted-sql-string.tainted-sql-string,go,nao
go.lang.security.injection.tainted-url-host.tainted-url-host,go,nao
go.lang.security.reverseproxy-director.reverseproxy-director,go,nao
go.lang.security.zip.path-traversal-inside-zip-extraction,go,nao
go.otto.security.audit.dangerous-execution.dangerous-execution,go,nao
html.security.audit.missing-integrity.missing-integrity,generic,nao
html.security.plaintext-http-link.plaintext-http-link,html,nao
java.android.security.exported_activity.exported_activity,generic,nao
java.aws-lambda.security.tainted-sql-string.tainted-sql-string,java,nao
java.aws-lambda.security.tainted-sqli.tainted-sqli,java,nao
java.java-jwt.security.audit.jwt-decode-without-verify.java-jwt-decode-without-verify,java,nao
java.java-jwt.security.jwt-hardcode.java-jwt-hardcoded-secret,java,nao
java.java-jwt.security.jwt-none-alg.java-jwt-none-alg,java,nao
java.jax-rs.security.jax-rs-path-traversal.jax-rs-path-traversal,java,nao
java.jboss.security.seam-log-injection.seam-log-injection,java,nao
java.jboss.security.session_sqli.find-sql-string-concatenation,java,nao
java.jjwt.security.jwt-none-alg.jjwt-none-alg,java,nao
java.lang.security.audit.anonymous-ldap-bind.anonymous-ldap-bind,java,nao
java.lang.security.audit.bad-hexa-conversion.bad-hexa-conversion,java,nao
java.lang.security.audit.blowfish-insufficient-key-size.blowfish-insufficient-key-size,java,nao
java.lang.security.audit.cbc-padding-oracle.cbc-padding-oracle,java,nao
java.lang.security.audit.command-injection-formatted-runtime-call.command-injection-formatted-runtime-call,java,nao
java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,java,nao
java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,java,nao
java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,java,nao
java.lang.security.audit.crlf-injection-logs.crlf-injection-logs,java,nao
java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,java|kt,nao
java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,java|kt,nao
java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,java,nao
java.lang.security.audit.crypto.gcm-nonce-reuse.gcm-nonce-reuse,java,nao
java.lang.security.audit.crypto.no-null-cipher.no-null-cipher,java,nao
java.lang.security.audit.crypto.no-static-initialization-vector.no-static-initialization-vector,java,nao
java.lang.security.audit.crypto.rsa-no-padding.rsa-no-padding,java|kt,nao
java.lang.security.audit.crypto.ssl.avoid-implementing-custom-digests.avoid-implementing-custom-digests,java,nao
java.lang.security.audit.crypto.ssl.defaulthttpclient-is-deprecated.defaulthttpclient-is-deprecated,java,nao
java.lang.security.audit.crypto.ssl.insecure-hostname-verifier.insecure-hostname-verifier,java,nao
java.lang.security.audit.crypto.ssl.insecure-trust-manager.insecure-trust-manager,java,nao
java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket,java,nao
java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb,java,nao
java.lang.security.audit.crypto.use-of-blowfish.use-of-blowfish,java,nao
java.lang.security.audit.crypto.use-of-default-aes.use-of-default-aes,java,nao
java.lang.security.audit.crypto.use-of-md5-digest-utils.use-of-md5-digest-utils,java,nao
java.lang.security.audit.crypto.use-of-md5.use-of-md5,java,nao
java.lang.security.audit.crypto.use-of-rc2.use-of-rc2,java,nao
java.lang.security.audit.crypto.use-of-rc4.use-of-rc4,java,nao
java.lang.security.audit.crypto.use-of-sha1.use-of-sha1,java,nao
java.lang.security.audit.crypto.use-of-sha224.use-of-sha224,java,nao
java.lang.security.audit.crypto.weak-random.weak-random,java,nao
java.lang.security.audit.crypto.weak-rsa.use-of-weak-rsa-key,java,nao
java.lang.security.audit.dangerous-groovy-shell.dangerous-groovy-shell,java,nao
java.lang.security.audit.el-injection.el-injection,java,nao
java.lang.security.audit.formatted-sql-string.formatted-sql-string,java,nao
java.lang.security.audit.http-response-splitting.http-response-splitting,java,nao
java.lang.security.audit.insecure-smtp-connection.insecure-smtp-connection,java,nao
java.lang.security.audit.java-reverse-shell.java-reverse-shell,java,nao
java.lang.security.audit.jdbc-sql-formatted-string.jdbc-sql-formatted-string,java,nao
java.lang.security.audit.ldap-entry-poisoning.ldap-entry-poisoning,java,nao
java.lang.security.audit.ldap-injection.ldap-injection,java,nao
java.lang.security.audit.md5-used-as-password.md5-used-as-password,java,nao
java.lang.security.audit.object-deserialization.object-deserialization,java,nao
java.lang.security.audit.ognl-injection.ognl-injection,java,nao
java.lang.security.audit.overly-permissive-file-permission.overly-permissive-file-permission,java,nao
java.lang.security.audit.permissive-cors.permissive-cors,java,nao
java.lang.security.audit.script-engine-injection.script-engine-injection,java,nao
java.lang.security.audit.sqli.hibernate-sqli.hibernate-sqli,java,nao
java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,java,nao
java.lang.security.audit.sqli.jdo-sqli.jdo-sqli,java,nao
java.lang.security.audit.sqli.jpa-sqli.jpa-sqli,java,nao
java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,java,nao
java.lang.security.audit.sqli.turbine-sqli.turbine-sqli,java,nao
java.lang.security.audit.sqli.vertx-sqli.vertx-sqli,java,nao
java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,java,nao
java.lang.security.audit.tainted-env-from-http-request.tainted-env-from-http-request,java,nao
java.lang.security.audit.tainted-ldapi-from-http-request.tainted-ldapi-from-http-request,java,nao
java.lang.security.audit.tainted-session-from-http-request.tainted-session-from-http-request,java,nao
java.lang.security.audit.tainted-xpath-from-http-request.tainted-xpath-from-http-request,java,nao
java.lang.security.audit.unsafe-reflection.unsafe-reflection,java,nao
java.lang.security.audit.unvalidated-redirect.unvalidated-redirect,java,nao
java.lang.security.audit.url-rewriting.url-rewriting,java,nao
java.lang.security.audit.weak-ssl-context.weak-ssl-context,java,nao
java.lang.security.audit.xml-decoder.xml-decoder,java,nao
java.lang.security.audit.xss.jsf.autoescape-disabled.autoescape-disabled,regex,nao
java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,java,nao
java.lang.security.audit.xssrequestwrapper-is-insecure.xssrequestwrapper-is-insecure,java,nao
java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-false.documentbuilderfactory-disallow-doctype-decl-false,java,nao
java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,java,nao
java.lang.security.audit.xxe.documentbuilderfactory-external-general-entities-true.documentbuilderfactory-external-general-entities-true,java,nao
java.lang.security.audit.xxe.documentbuilderfactory-external-parameter-entities-true.documentbuilderfactory-external-parameter-entities-true,java,nao
java.lang.security.audit.xxe.saxparserfactory-disallow-doctype-decl-missing.saxparserfactory-disallow-doctype-decl-missing,java,nao
java.lang.security.audit.xxe.transformerfactory-dtds-not-disabled.transformerfactory-dtds-not-disabled,java,nao
java.lang.security.do-privileged-use.do-privileged-use,java,nao
java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,java,nao
java.lang.security.insecure-jms-deserialization.insecure-jms-deserialization,java,nao
java.lang.security.jackson-unsafe-deserialization.jackson-unsafe-deserialization,java,nao
java.lang.security.servletresponse-writer-xss.servletresponse-writer-xss,java,nao
java.lang.security.use-snakeyaml-constructor.use-snakeyaml-constructor,java,nao
java.lang.security.xmlinputfactory-external-entities-enabled.xmlinputfactory-external-entities-enabled,java,nao
java.lang.security.xmlinputfactory-possible-xxe.xmlinputfactory-possible-xxe,java,nao
java.rmi.security.server-dangerous-class-deserialization.server-dangerous-class-deserialization,java,nao
java.rmi.security.server-dangerous-object-deserialization.server-dangerous-object-deserialization,java,nao
java.servlets.security.cookie-issecure-false.cookie-issecure-false,java,nao
java.spring.security.audit.spel-injection.spel-injection,java,nao
java.spring.security.audit.spring-actuator-fully-enabled.spring-actuator-fully-enabled,generic,nao
java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,java,nao
java.spring.security.audit.spring-jsp-eval.spring-jsp-eval,generic,nao
java.spring.security.audit.spring-sqli.spring-sqli,java,nao
java.spring.security.audit.spring-unvalidated-redirect.spring-unvalidated-redirect,java,nao
java.spring.security.injection.tainted-file-path.tainted-file-path,java,nao
java.spring.security.injection.tainted-html-string.tainted-html-string,java,nao
java.spring.security.injection.tainted-sql-string.tainted-sql-string,java,nao
java.spring.security.injection.tainted-system-command.tainted-system-command,java,nao
java.spring.security.injection.tainted-url-host.tainted-url-host,java,nao
java.spring.security.unrestricted-request-mapping.unrestricted-request-mapping,java,nao
javascript.ajv.security.audit.ajv-allerrors-true.ajv-allerrors-true,javascript|typescript,sim
javascript.angular.security.detect-angular-element-methods.detect-angular-element-methods,javascript|typescript,sim
javascript.angular.security.detect-angular-element-taint.detect-angular-element-taint,javascript|typescript,sim
javascript.angular.security.detect-angular-resource-loading.detect-angular-resource-loading,javascript|typescript,sim
